product_name,product_price,product_descript,product_sizes,product_colours
Augusta Pullover Jacket,57.00,"It’s hard to be uncomfortable in the Augusta Pullover Jacket with ¼ zip. With an incredibly soft fleece lining and textured outer fabric, it offers reliable protection from the elements and a cozy fit as well.","XS, S, M, L, XL","Blue, Orange, Red"
Autumn Pullie,57.00,"With ultra-soft fleece fabric and an athletic design, our short-sleeve Autumn Pullie delivers a comfortable fit that makes it an everyday essential. A luxurious roll neck protects you from elements.","XS, S, M, L, XL","Green, Purple, Red"
Atomic Endurance Running Tee (Crew-Neck),29.00,"Like it’s v-neck counterpart, the crew-neck Atomic Tee will get you to your goal and beyond with its many load-bearing features: ultra-lightweight, moisture-wicking Cocona® fabric, chafe-free flatlock seams and an ergonomic cut that moves with your body.","XS, S, M, L, XL","Black, Blue, Red"
Bardot Capri,48.00,Black is back — was it ever gone? — which means all your favorite tops will get along with the comfortable and versatile Bardot Capri.,"28, 29","Black, Green, Red"
Bella Tank,29.00,"Style, performance and comfort mix it up in the Bella Tank. With striking color block contrast, fitted form and a built-in bra, you’ll be supported and stylish at the same time.","XS, S, M, L, XL","Black, Blue, Orange"
Balboa Persistence Tee,29.00,"The Balboa Persistence Tee is a must-have for any athlete, Philadelphia or elsewhere. We took the best of performance apparel, cut the fluff and boiled it down to the basics for a lightweight, quick-drying t-shirt.","XS, S, M, L, XL","Gray, Green, Orange"
,69.00,,,
Bolo Sport Watch,49.00,"The Bolo Sport Watch is sleek, sporty and sized just right to fit your smaller wrist. Easy to read and set up, it features a large digital face and button-activated alarm and stopwatch. The soft-touch resin band promises no-pinch comfort, while the water-resistant design lets you take your workout to the lap pool.","Recreation, Sports",
Beaumont Summit Kit,42.00,"The smooth nylon shell around the Beaumont Summit Kit combats wind, reinforced with a cold-fighting brushed fleece layer. The jacket is reversible, giving you a new look for the return trek. Ample pocket space rounds out this hiker’s paradise package.","XS, S, M, L, XL","Orange, Red, Yellow"
Beanie with Logo,20.00,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",Red,Red
Bess Yoga Short,28.00,"Designed for intense physical activity – think bikram – our Bess Yoga Short features moisture-wicking, four-way stretch fabric that lets you move in every which way. A vented gusset adds breathability and range of motion.","28, 29, 30, 31, 32","Blue, Purple, Yellow"
Belt,65.00,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,
Brand Buttons,9.99,"Divi, Divi Engine, WooCommerce, WordPress","Divi, Divi Engine, WooCommerce, WordPress",
,69.00,,,
,69.00,,,
Breathe-Easy Tank,34.00,"The Breathe Easy Tank is so soft, lightweight, and comfortable, you won’t even know it’s there — until its high-tech Cocona® fabric starts wicking sweat away from your body to help you stay dry and focused. Layer it over your favorite sports bra and get moving.","XS, S, M, L, XL","Purple, White, Yellow"
Caesar Warm-Up Pant,35.00,Command your workout and keep your muscles limber in the Caesar Warm-Up Pant. Engineered CoolTech™ fabric wicks away moisture so you don’t have to worry about sweat and discomfort. The drawstring-adjustable waist helps make sure your pants fit properly.,"32, 33, 34, 36","Black, Gray, Purple"
Cap,18.00,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",Yellow,Yellow
Bruno Compete Hoodie,63.00,"Stay comfortable and stay in the race no matter what the weather’s up to. The Bruno Compete Hoodie’s water-repellent exterior shields you from the elements, while advanced fabric technology inside wicks moisture to keep you dry.","XS, S, M, L, XL","Black, Blue, Green"
Carina Basic Capri,51.00,"Perfect as workout pants or “accessory,” the Carina Basic Capri is comfy as it is practical — try it under skirts or shorts.","28, 29","Black, Blue, Purple"
,69.00,,,
Cassia Funnel Sweatshirt,48.00,The casual Cassia Funnel Sweatshirt sports front angled pockets and a drawstring stretch funnel hoodie. A cowl front neck pairs with a tagless label at back neck.,"XS, S, M, L, XL","Orange, Purple, White"
Celeste Sports Bra,39.00,"Whatever your goals for the day’s workout, the Celeste Sports Bra lets you do it in comfort and coolness, plus enhanced support and shaping. A power mesh back zone and moisture-wicking fabric ensure you stay dry.","XS, S, M, L, XL","Green, Red, Yellow"
Cassius Sparring Tank,18.00,"Whether you’re up against a partner or the clock, the Cassius Sparring Tank is in your corner, moving effortless with your body. The light and loose feel gives you no reason to give up before the bell or the end of the block.","XS, S, M, L, XL",Blue
Cora Parachute Pant,75.00,"Good for running, hiking, lounging or stretching, the Cora Parachute Pant presents comfortable styling designed to help you look and feel great.","28, 29","Black, Blue, White"
Circe Hooded Ice Fleece,68.00,"Keep shivers at bay with the Circe Hooded Ice Fleece. Ultra-thick, high-pile fleece traps your body heat and keeps cold outside. The drawstring hood and ribbed details add extra coziness and touches of classic style. Its relaxed fit is loose enough to layer comfortably over your shirt.","XS, S, M, L, XL","Gray, Green, Purple"
Chloe Compete Tank,39.00,"You’ve earned your figure, so stay cool and let it do all the talking in the form-fitted, sleek racerback Chloe Compete Tank. Designed for total range of motion and performance, the Nona is made with highly breathable mesh fabric.","XS, S, M, L, XL","Blue, Red, Yellow"
,69.00,,,
Chaz Kangeroo Hoodie,52.00,"Ideal for cold-weather training or work outdoors, the Chaz Hoodie promises superior warmth with every wear. Thick material blocks out the wind as ribbed cuffs and bottom band seal in body heat.","XS, S, M, L, XL","Black, Gray, Orange"
Cronus Yoga Pant,48.00,"Guys who love yoga love this all-purpose yoga pant. Designed for yoga, gym and lounge, the Cronus Yoga Pant is a loose-fitting, classic-style pant made from a lightweight blend of cotton, recycled polyester and a touch of Spandex for the stretch factor.","32, 33, 34, 36","Black, Blue, Red"
Compete Track Tote,32.00,"The Compete Track Tote holds a host of exercise supplies with ease. Stash your towel, jacket and street shoes inside. Tuck water bottles in easy-access external spaces. Perfect for trips to gym or yoga studio, with dual top handles for convenience to and from.","Gym, School, Yoga",
Clamber Watch,54.00,"Keep track of time on the treadmill or trail with our Clamber Watch. The flexible, rubberized strap is contoured to conform to your wrist for a comfortable fit all day. The face features an illuminated digital read-out of the current time and stopwatch functions.","Recreation, Athletic, Outdoor, Gym",
,69.00,,,
Cobalt CoolTech™ Fitness Short,44.00,"It’s not rocket surgery: the hotter your conditions, the more you need to stay cool. That’s why the Cobalt CoolTech™ Fitness Short features built-in technology and side perforations that keep you ventilated and comfortable for the distance. The elastic waist promises a personalized fit.","32, 33, 34, 36","Black, Blue, Red"
Crown Summit Backpack,38.00,"The Crown Summit Backpack is equally at home in a gym locker, study cube or a pup tent, so be sure yours is packed with books, a bag lunch, water bottles, yoga block, laptop, or whatever else you want in hand. Rugged enough for day hikes and camping trips, it has two large zippered compartments and padded, adjustable shoulder straps.","Gym, Hiking, Overnight, School, Trail, Travel, Urban",
Cruise Dual Analog Watch,55.00,"Whether you’re traveling or wish you were, you’ll never let time zones perplex you again with the Cruise Dual Analog Watch. The thick, adjustable band promises a comfortable, personalized fit to this classy, modern time piece.",Recreation,
,69.00,,,
Daphne Full-Zip Hoodie,59.00,"The Daphne Hoodie is an attractive yet rugged layering or outer piece, especially for chilly days en route the studio, doing yardwork or enjoying outdoor recreation.","XS, S, M, L, XL",Purple
,69.00,,,
Dat Divi Engine Life Crop-top (3-Tone),12.99,Divi Engine,Divi Engine,
Dash Digital Watch,92.00,"The Dash Digital Watch will challenge you to push harder and longer. Log workouts by date, average, and segment times, and recharge by setting hydration and nutrition alarms. This watch is styled with a sleek, square face and durable rubber strap for a long life.","Athletic, Sports, Outdoor, Gym",
,69.00,,,
Deirdre Relaxed-Fit Capri,63.00,"Invigorate your yoga practice with this Deirdre Relaxed-Fit Capri, designed to let you move without strain or restriction.","28, 29","Blue, Gray, Green"
Daria Bikram Pant,51.00,The Daria Bikram Pant is designed to stretch and move with your body to make extreme yoga extremely comfortable.,"28, 29","Black, Gray, White"
Dat Divi Engine Life Hoodie – Limited Edition,44.99,Divi Engine,Divi Engine,
Diana Tights,59.00,Perfect for hot bikram session or cool-down stretching. 8-percent stretch means you’ll feel like anything is possible in the capri-style Diana Tights.,"28, 29","Black, Blue, Orange"
Deion Long-Sleeve EverCool™ Tee,39.00,"When you’re training, ordinary tees don’t cut it. That’s why the Dion Long-Sleeve EverCool™ Tee features revolutionary Cocona® fabric derived from a renewable resource: coconut shells. This unique material protects you from harmful UV rays, wicks away sweat, controls stink and dries quickly.","XS, S, M, L, XL","Black, Green, White"
Divi Engine String Bag (Small Logos),19.99,Divi Engine,Divi Engine,
,69.00,,,
Divi Engine String Bag (Big Logo),19.99,Divi Engine,Divi Engine,
,69.00,,,
Divi Engine Logo Zipper Hoodie,29.99,Divi Engine,Divi Engine,
,69.00,,,
Diva Gym Tee,32.00,"The Diva Gym Tee feels like your favorite right out of the mailbox. Micro-sleeved, lightweight and extra comfortable, it’s a casual staple that hides incredible comfort behind a laid-back, carefree look.","XS, S, M, L, XL","Green, Orange, Yellow"
Didi Sport Watch,92.00,"The Didi Sport Watch helps you keep your workout plan down to the second. The vertical, digital face looks sleek and futuristic. This watch is programmed with tons of helpful features such as a timer, an alarm clock, a pedometer, and more to help make your excercise more productive.","Athletic, Gym",
Divi Ninja Tee,12.99,Divi,Divi,
Desiree Fitness Tee,24.00,"When you’re too far to turn back, thank yourself for choosing the Desiree Fitness Tee. Its ultra-lightweight, ultra-breathable fabric wicks sweat away from your body and helps keeps you cool for the distance.","XS, S, M, L, XL","Black, Orange, Yellow"
Divi Engine Tee,14.99,Divi Engine,Divi Engine,"Blue, White, Yellow"
Divi Tee,14.99,Divi,Divi,
Divi Simplified Crop-top,12.99,"Divi, Divi Engine","Divi, Divi Engine","Blue, White, Yellow"
Echo Fit Compression Short,24.00,"Your muscles know it’s go time the second you pull on the Echo Fit Compression Short. A balance of firm, stimulating squeeze with breathability, it offers the support and comfort you need to give it your all.","28, 29, 30, 31, 32","Black, Blue, Purple"
,69.00,,,
Dual Handle Cardio Ball,12.00,"Make the most of your limited workout window with our Dual-Handle Cardio Ball. The 15-lb ball maximizes the effort-impact to your abdominal, upper arm and lower-body muscles. It features a handle on each side for a firm, secure grip.","Athletic, Sports, Gym",
Erika Running Short,45.00,"A great short with a body-hugging design, the Erika Running Short is perfect for runners who prefer a fitted short rather than the traditional baggy variety.",,
Erikssen CoolTech™ Fitness Tank,29.00,"A good running tank helps make the miles pass by keep you cool. The Erikssen CoolTech™ Fitness Tank completes that mission, with performance fabric engineered to wick perspiration and promote airflow.","XS, S, M, L, XL","Gray, Orange, Red"
Endurance Watch,49.00,"It’s easy to track and monitor your training progress with the Endurance Watch. You’ll see standard info like time, date and day of the week, but it also functions for the serious high-mileage athete: lap counter, stopwatch, distance, heart rate, speed/pace, cadence and altitude.","Recreation, Athletic",
,69.00,,,
Eos V-Neck Hoodie,54.00,Getting chilly before class starts? Wear the Eos on your way to and from yoga for a cute and cozy warmup piece. Reach for its reliable comfort and enjoy a super-soft blend of fabrics finished in sporty style that includes a hidden kangaroo pocket.,"XS, S, M, L, XL","Blue, Green, Orange"
,69.00,,,
Erica Evercool Sports Bra,39.00,"Perfect for medium-impact workouts, our Erica EverCool™ Sports Bra brings a brilliant combo of comfort and style. Moisture-wicking technology keeps you dry, and the flattering hybrid racerback promises an unbeatable range of motion.","XS, S, M, L, XL","Blue, Orange, Yellow"
Endeavor Daytrip Backpack,33.00,"With more room than it appears, the Endeavor Daytrip Backpack will hold a whole day’s worth of books, binders and gym clothes. The spacious main compartment includes a dedicated laptop sleeve. Two other compartments offer extra storage space.","Gym, Hiking, School, Urban",
Emma Leggings,42.00,These comfortable and practical leggings pair perfectly with any workout top or casual tee. The Emma’s subtle contrast fabric and fit ensure you’re stylish without overdoing it.,"28, 29","Blue, Purple, Red"
Elisa EverCool™ Tee,29.00,"When rising temps threaten to melt you down, Elisa EverCool™ Tee brings serious relief. Moisture-wicking fabric pulls sweat away from your skin, while the innovative seams hug your muscles to enhance your range of motion.","XS, S, M, L, XL","Gray, Purple, Red"
Driven Backpack,36.00,"School books, camp gear and yoga clothes get along just fine in the all-purpose Driven Backpack. Crafted with tough polyester ripstop fabric, it’s outfitted with rubberized end panels and padded, adjustable shoulder straps. The roomy main compartment features molded foam pockets that host everything you need.","Gym, School, Yoga",
,69.00,,,
Electra Bra Top,39.00,"A heavenly soft and stylish eco garment, the Electra Bra Top is perfect for wearing on its own as a hot yoga top or layered under a tank.","XS, S, M, L, XL","Black, Gray, Purple"
Fusion Backpack,59.00,"With the Fusion Backpack strapped on, every trek is an adventure – even a bus ride to work. That’s partly because two large zippered compartments store everything you need, while a front zippered pocket and side mesh pouches are perfect for stashing those little extras, in case you change your mind and take the day off.","Hiking, School, Yoga",
Fiona Fitness Short,29.00,"Don’t let the plain style fool you: the Fiona Fitness Short demands notice on several levels. Comfort, of course. But also a performance-grade wicking fabric that takes everything you can give.","28, 29, 30, 31, 32","Black, Green, Red"
,69.00,,,
Frankie Sweatshirt,60.00,The Frankie Sweatshirt is your best friend at long afternoon stadium stints or winter trailside campsites. The soft fleece fabric keeps you toasty as moisture-wicking technology kicks in when the sun comes out.,"XS, S, M, L, XL","Green, White, Yellow"
Helena Hooded Fleece,55.00,"Wear this hoodie after the gym or before a chilly weather bike ride. Either way, this versatile sweatshirt offers an effortlessly appealing silhouette and a super-comfy fit. Smooth, stretchy fabric creates flattering shape, while the full-zip placket and hood help block gusty winds.","XS, S, M, L, XL","Blue, Gray, Yellow"
Harmony Lumaflex™ Strength Band Kit,22.00,Forget fancy machines and costly memberships – the Harmony Lumaflex™ Stength Band Kit is all you need for an amazing workout. The kit has everything you need for a range of strengthening and toning exercises.,Gym,
,69.00,,,
Hawkeye Yoga Short,29.00,"What more do you need than a sporty yoga short made with organic cotton and a little spandex for mobility? The Hawkeye Yoga Short brings a stylish, standard fit you can sport with confidence outside the studio.","32, 33, 34, 36","Black, Blue, Gray"
,69.00,,,
Happy Ninja,35.00,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,
,69.00,,,
Happy Ninja,18.00,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,
Gwen Drawstring Bike Short,50.00,"For a completely modern style with moisture-wicking CoolTech™ technology, try the Gwen Drawstring Bike Short. Subtle grays and eye catching stitching combine with an adjustable waist for the perfect look and fit.","28, 29, 30, 31, 32","Blue, Gray, Orange"
Gwyn Endurance Tee,24.00,"When the miles add up, comfort is crucial. The short-sleeve Gwyn Endurance Tee is designed with an ultra-lightweight blend of breathable fabrics to help you tackle your training. Female-specific seams and a sporty v-neckline offer subtle style.","XS, S, M, L, XL","Black, Green, Yellow"
Grayson Crewneck Sweatshirt,64.00,"The Grayson Crewneck Sweatshirt gives you that ageless, classic look – a style that comes back around nearly every season. What’s more, its performance and temp-control values are always in vogue.","XS, S, M, L, XL","Orange, Red, White"
Gobi HeatTec® Tee,29.00,"When the training gets intense, the Gobi HeatTec® Tee works as hard as you do to maintain your cool. The moisture-wicking material promises drier comfort, while breathable side panels deliver extra stretch that’s sure to keep you moving.","XS, S, M, L, XL","Black, Orange, Red"
Go-Get’r Pushup Grips,19.00,"The Go-Get’r Pushup Grips safely provide the extra range of motion you need for a deep-dip routine targeting core, shoulder, chest and arm strength. Do fewer pushups using more energy, getting better results faster than the standard floor-level technique yield.","Athletic, Gym",
,69.00,,,
Geo Insulated Jogging Pant,51.00,"In the cold, even the toughest guys shiver, unless they’re in the Geo Insulated Jogging Pant. Lightweight and wind resistant, they block brutal wind gusts and warm you to the bone. Breathable mesh keeps them dry on the inside.","32, 33, 34, 36","Blue, Green, Red"
Gabrielle Micro Sleeve Top,28.00,"Luma’s most popular top, the Gabrielle Micro Sleeve is back with even more comfort and style.","XS, S, M, L, XL","Blue, Green, Red"
Jade Yoga Jacket,32.00,"If only all your other jackets were as comfortable as the relaxed-fit Jade Yoga Jacket, perfect for use during stretching, biking to and from studio or strolling on breezy fall days.","XS, S, M, L, XL","Blue, Gray, Green"
Ina Compression Short,49.00,"One of Luma’s most popular items, the Ina Compression Short has you covered with exceptional support and comfort, whether you’re running the trail, riding a bike or ripping out reps. The ventilating fabric offers cool relief and prevents irritating chafing.","28, 29, 30, 31, 32","Blue, Orange, Red, Green, Purple"
Ingrid Running Jacket,84.00,"The Ingrid Running Jacket combines sleek design and high performance with slim, contoured fit and moisture-wicking fabric. It features a full-zip construction and a collared neck to keep the elements out and body heat in. ","XS, S, M, L, XL","Orange, Red, White"
Iris Workout Top,29.00,"The Iris Workout Top is sleeveless, body fitting and moisture wicking for a fashionable, functional garment. Rouched textures add style.","XS, S, M, L, XL","Blue, Green, Red"
Inez Full Zip Jacket,59.00,"The Inez Full Zip jacket is more than a cute layer. It’s a full-on tech wonder you’ll use for outdoor, pre and post workout. You’ll love how the highlighted zipper and sleeve safety trim protect and catch looks.","XS, S, M, L, XL","Orange, Purple, Red"
,69.00,,,
Impulse Duffle,74.00,"Good for beach trips, track meets, yoga retreats and more, the Impulse Duffle is the companion you’ll want at your side. A large U-shaped opening makes packing a hassle-free affair, while a zippered interior pocket keeps jewelry and other small valuables safely tucked out of sight.","Gym, Overnight, Travel",
,69.00,,,
Ida Workout Parachute Pant,48.00,"The Ida Workout Parachute Pant is made of lightweight, super-soft fabric that keeps you comfortable during any level of activity, whether Downward Dog or a few trail miles.","Black, Blue, Purple","Black, Blue, Purple"
Hoodie with Zipper,45.00,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,
Hoodie with Logo,45.00,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",Blue,Blue
Hyperion Elements Jacket,51.00,"Boldly face high winds, frigid temps and stormy weather the whole winter through in the Hyperion Elements Jacket. LumaTech™ insulating technology helps maintain your core temperature and wick sweat. The smooth shell is water repellent and quilted to retain body heat.","XS, S, M, L, XL","Green, Orange, Red"
,69.00,,,
Hoodie,42.00,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.","Blue, Green, Red","Blue, Green, Red"
Hollister Backyard Sweatshirt,52.00,"Kick off your weekend in the Hollister Backyard Sweatshirt. Whether you’re raking leaves or flipping burgers, this comfy layer blocks the bite of the crisp autumn air. Puffy thick from hood to hem, it traps heat against your core.","XS, S, M, L, XL","Green, Red, White"
Hero Hoodie,54.00,"Gray and black color blocking sets you apart as the Hero Hoodie keeps you warm on the bus, campus or cold mean streets. Slanted outsize front pockets keep your style real . . . convenient.","XS, S, M, L, XL","Black, Gray, Green"
Logo Collection,18.00,"Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Vestibulum tortor quam, feugiat vitae, ultricies eget, tempor sit amet, ante. Donec eu libero sit amet quam egestas semper. Aenean ultricies mi vitae est. Mauris placerat eleifend leo.",,
Leah Yoga Top,39.00,"The Leah Yoga Top offers a practical, comfortable upper that will not compromise your style. Body hugging fit and interior shelf bra make it suitable for active or leisure pursuits.","XS, S, M, L, XL","Orange, Purple, White"
Logan HeatTec® Tee,24.00,"Soft and lightweight, the Logan HeatTec® Tee gets you through the long haul in total comfort. It boasts superior sweat-wicking performance to keep skin dry and cool, and strategic flat-lock seams to resist chafing.","XS, S, M, L, XL","Black, Blue, Red"
Livingston All-Purpose Tight,75.00,"It’s not often that your pants work as a yoga staple and a climbing buddy. The Livingston All-Purpose Tight is made with soft, 11% cotton and nylon polymer stretch construction that lets you find the right angle in the studio or on the mountain side.","32, 33, 34, 36","Black, Blue, Red"
Layla Tee,29.00,"Work out or hang out in chic style in the Layla Tee. With a lightweight sheer design and a roomy neckline, this tee fits you comfortably while looking stylish.","XS, S, M, L, XL","Blue, Green, Red"
,69.00,,,
Lanyard,9.99,Divi Engine,Divi Engine,
Lando Gym Jacket,99.00,"The Lando Gym Jacket offers strategic ventilation at perspiration-prone areas, while moisture-wicking technology helps you stay dry. Side-seam pockets house your favorite media device, so you’re plugged in when working out.","XS, S, M, L, XL","Blue, Gray, Green"
Karmen Yoga Pant,39.00,"Good for running, hiking, lounging or stretching, the Cora Parachute Pant presents comfortable styling designed to help you look and feel great.","28, 29","Black, Gray, White"
Kratos Gym Pant,57.00,"Like it’s namesake god of strength, the Kratos Gym Pant help you bring your best to bear on weight-based, plyometric and endurance exercise. They stretch and support in all the right places while ultra-light construction and moisture-wicking technology provide comfort.","32, 33, 34, 36","Black, Blue, Green"
Kenobi Trail Jacket,47.00,"Aside from sealed seams to keep moisture out and body heat in, the Kenobi Trail Vest is all about media convenience. Use your phone and music player without ever taking it out of its cozy compartment: an attached remote on the left chest lets you change songs, pause and raise/lower volume.","XS, S, M, L, XL","Black, Blue, Purple"
Jupiter All-Weather Trainer,56.99,"Inclement climate be damned. With your breathable, water-resistant Jupiter All-Weather Trainer, you can focus on fuel and form and leave protection and comfort to us. The fabric is a special light fleece that wicks moisture and insulates at once.","XS, S, M, L, XL","Blue, Green, Purple"
Karissa V-Neck Tee,32.00,The Karissa V-Neck Tee features a semi-fitted shape that’s flattering for every figure. You can hit the gym with confidence while it hugs curves and hides common “problem” areas.,"XS, S, M, L, XL","Green, Red, Yellow"
Juno Jacket,77.00,"On colder-than-comfortable mornings, you’ll love warming up in the Juno All-Ways Performanc Jacket, designed to compete with wind and chill. Built-in Cocona® technology aids evaporation, while a special zip placket and stand-up collar keep your neck protected.","XS, S, M, L, XL","Blue, Green, Purple"
